LC,2012,2013,2014,2015,2016,2017,2018,2019
30,0,0,1,3,2,2,2,0
35,0,0,1,11,0,5,3,0
40,0,1,6,23,1,1,3,3
45,0,3,21,17,5,4,1,0
50,0,5,30,32,6,2,4,2
55,1,8,63,31,17,5,11,6
60,0,7,74,62,27,11,29,20
65,0,1,110,83,73,26,70,47
70,3,3,101,109,137,64,186,99
75,5,0,162,137,176,118,223,169
80,12,7,236,221,209,173,246,201
85,24,6,256,292,269,197,269,362
90,125,19,301,415,402,315,317,508
95,165,28,268,428,400,297,275,526
100,252,26,255,385,400,328,259,467
105,152,20,166,320,289,296,167,291
110,161,6,160,297,272,190,136,283
115,95,4,128,178,189,162,106,207
120,105,12,118,191,161,113,86,162
125,56,10,85,158,91,59,42,107
130,69,11,72,110,70,43,30,77
135,47,5,57,93,48,24,17,54
140,64,5,59,78,36,23,13,23
145,22,1,39,38,35,7,5,21
150,43,4,13,20,14,7,1,12
155,15,1,3,11,6,2,2,4
160,11,0,2,6,3,2,0,1
165,1,0,2,1,1,0,0,0
170,0,0,1,1,1,0,0,0
175,0,0,0,0,0,0,0,1
180,0,0,0,1,1,0,0,0
185,0,0,3,0,0,0,0,0
