Stock,Year,Length,CatchNo
reineta,2010,250,0
reineta,2010,260,0
reineta,2010,270,0
reineta,2010,280,0
reineta,2010,290,1
reineta,2010,300,82
reineta,2010,310,93
reineta,2010,320,260
reineta,2010,330,372
reineta,2010,340,407
reineta,2010,350,501
reineta,2010,360,473
reineta,2010,370,523
reineta,2010,380,374
reineta,2010,390,429
reineta,2010,400,275
reineta,2010,410,176
reineta,2010,420,116
reineta,2010,430,173
reineta,2010,440,180
reineta,2010,450,183
reineta,2010,460,211
reineta,2010,470,203
reineta,2010,480,177
reineta,2010,490,141
reineta,2010,500,125
reineta,2010,510,76
reineta,2010,520,48
reineta,2010,530,23
reineta,2010,540,11
reineta,2010,550,3
reineta,2010,560,1
reineta,2010,570,1
reineta,2010,580,0
reineta,2010,590,0
reineta,2010,600,0
reineta,2011,250,0
reineta,2011,260,0
reineta,2011,270,0
reineta,2011,280,0
reineta,2011,290,0
reineta,2011,300,0
reineta,2011,310,2
reineta,2011,320,8
reineta,2011,330,25
reineta,2011,340,61
reineta,2011,350,156
reineta,2011,360,207
reineta,2011,370,445
reineta,2011,380,467
reineta,2011,390,802
reineta,2011,400,1210
reineta,2011,410,990
reineta,2011,420,1161
reineta,2011,430,1093
reineta,2011,440,912
reineta,2011,450,885
reineta,2011,460,730
reineta,2011,470,692
reineta,2011,480,532
reineta,2011,490,443
reineta,2011,500,255
reineta,2011,510,173
reineta,2011,520,117
reineta,2011,530,76
reineta,2011,540,28
reineta,2011,550,11
reineta,2011,560,4
reineta,2011,570,1
reineta,2011,580,0
reineta,2011,590,0
reineta,2011,600,0
reineta,2012,250,0
reineta,2012,260,0
reineta,2012,270,0
reineta,2012,280,0
reineta,2012,290,0
reineta,2012,300,0
reineta,2012,310,0
reineta,2012,320,0
reineta,2012,330,0
reineta,2012,340,0
reineta,2012,350,0
reineta,2012,360,2
reineta,2012,370,15
reineta,2012,380,34
reineta,2012,390,88
reineta,2012,400,1063
reineta,2012,410,1225
reineta,2012,420,1720
reineta,2012,430,1490
reineta,2012,440,1316
reineta,2012,450,1594
reineta,2012,460,856
reineta,2012,470,574
reineta,2012,480,387
reineta,2012,490,226
reineta,2012,500,117
reineta,2012,510,77
reineta,2012,520,49
reineta,2012,530,36
